Source,Target,Type,Id,Weight
259,84,Undirected,663,1.0
259,260,Undirected,664,1.0
261,199,Undirected,665,1.0
261,97,Undirected,666,1.0
261,160,Undirected,667,1.0
255,53,Undirected,668,1.0
255,116,Undirected,669,1.0
255,256,Undirected,670,1.0
87,184,Undirected,671,1.0
87,90,Undirected,672,1.0
87,3,Undirected,673,1.0
264,121,Undirected,674,1.0
264,125,Undirected,675,1.0
264,126,Undirected,676,1.0
195,197,Undirected,677,1.0
195,194,Undirected,678,1.0
195,143,Undirected,679,1.0
195,188,Undirected,680,1.0
258,67,Undirected,681,1.0
90,184,Undirected,682,1.0
90,90,Undirected,683,1.0
266,204,Undirected,684,1.0
260,259,Undirected,685,1.0
257,56,Undirected,686,1.0
257,151,Undirected,687,1.0
267,152,Undirected,688,1.0
267,148,Undirected,689,1.0
267,154,Undirected,690,1.0
222,223,Undirected,691,1.0
222,207,Undirected,692,1.0
49,50,Undirected,693,1.0
49,100,Undirected,694,1.0
256,53,Undirected,695,1.0
256,255,Undirected,696,1.0
256,70,Undirected,697,1.0
